Ticker,Side,Entry Date,Exit Date,Entry $,Exit $,Shares,P&L $,P&L %,Result,Notes
BITU,long,,01/05/2026,23.35,24.87,100,152.42,6.53,win,
BITU,long,,01/05/2026,23.35,25.09,10,17.44,7.47,win,
BITU,long,,01/05/2026,23.35,24.94,10,15.94,6.83,win,
BITU,long,,01/05/2026,23.35,25.09,10,17.44,7.47,win,
BITU,long,,01/05/2026,23.35,25.10,10,17.54,7.51,win,
BITU,long,,01/05/2026,23.35,25.25,10,19.04,8.16,win,
BITX,long,,01/13/2026,31.59,31.65,15,0.90,0.19,win,
BITX,long,,01/13/2026,31.59,31.52,10,0.00,0.00,wash sale,disallowed loss $0.70
BITU,long,,01/13/2026,23.35,25.04,25,42.36,7.26,win,
BITU,long,,01/13/2026,23.35,25.16,25,45.36,7.77,win,
BITU,long,,01/13/2026,23.35,26.25,25,72.61,12.44,win,
BITX,long,,01/14/2026,31.59,33.10,25,37.75,4.78,win,
BITU,long,,01/14/2026,23.35,26.28,25,73.38,12.57,win,
AGX,long,,01/29/2026,365.51,349.34,4,-64.70,-4.43,loss,
IBIO,long,,02/11/2026,2.49,2.16,260,0.00,0.00,wash sale,disallowed loss $85.85
IBRX,long,,02/13/2026,7.14,6.26,90,-8.80,-1.37,loss,partial wash sale â disallowed $70.42
ZURA,long,,03/03/2026,6.99,6.94,86,-4.31,-0.72,loss,
IBIO,long,,03/10/2026,3.37,2.47,285,-255.91,-26.66,loss,
IBRX,long,,03/10/2026,10.67,8.01,80,-212.04,-24.85,loss,
BATL,long,,03/12/2026,22.48,21.01,50,-73.51,-6.54,loss,
NUAI,long,,03/18/2026,6.13,5.08,75,-78.76,-17.13,loss,
LRMR,long,,04/10/2026,5.12,4.98,75,-10.52,-2.74,loss,
RLMD,long,,04/16/2026,7.12,6.93,60,-11.42,-2.67,loss,
EVTV,long,,04/23/2026,1.86,1.64,150,-33.04,-11.84,loss,
EDSA,long,,04/27/2026,6.35,11.24,10,48.93,77.06,win,
EDSA,long,,04/28/2026,6.35,13.00,12,79.80,104.72,win,
BITX,long,,05/05/2026,15.84,20.96,100,512.79,32.38,win,
BITX,long,,05/05/2026,22.90,20.95,60,-117.13,-8.52,loss,
BITX,long,,05/05/2026,31.59,20.96,20,-212.61,-33.65,loss,
BITX,long,,05/05/2026,31.59,20.96,20,-212.60,-33.65,loss,
BITU,long,,05/05/2026,12.40,16.46,100,405.96,32.74,win,
BITU,long,,05/05/2026,23.35,16.47,50,-343.55,-29.43,loss,
FSLY,long,,05/06/2026,26.91,23.80,8,-24.87,-11.55,loss,
CRVS,long,,05/11/2026,16.32,15.82,16,-8.01,-3.07,loss,
VFS,long,,05/11/2026,4.32,4.09,120,-28.00,-5.40,loss,
EDSA,long,,05/12/2026,17.78,15.00,11,-30.58,-15.64,loss,
WST,long,,05/12/2026,311.00,306.25,3,-14.26,-1.53,loss,
UROY,long,,05/15/2026,3.92,3.90,100,-2.03,-0.52,loss,
VSTS,long,,05/29/2026,12.61,12.74,23,3.10,1.07,win,
CVGI,long,,06/05/2026,5.48,5.31,100,-17.03,-3.11,loss,
VSTS,long,,06/08/2026,12.91,12.53,75,-28.91,-2.98,loss,
RAL,long,,06/09/2026,63.37,61.38,15,0.00,0.00,wash sale,disallowed loss $29.87
